  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
  Registration overhead: -0.0030 ms
m=112232, n=2048, k=1408, l=1
  Reference time: 0.3815 ms
  Best time: 0.6636 ms
  Registered time: 0.6570 ms
  Registration overhead: -0.0066 ms
m=50512, n=1408, k=2048, l=1
  Reference time: 0.2215 ms
  Best time: 0.2433 ms
  Registered time: 0.2433 ms
  Registration overhead: -0.0000 ms
m=74448, n=2048, k=1408, l=1
  Reference time: 0.2735 ms
  Best time: 0.4509 ms
  Registered time: 0.4504 ms
  Registration overhead: -0.0005 ms
m=100536, n=1408, k=2048, l=1
  Reference time: 0.3217 ms
  Best time: 0.4654 ms
  Registered time: 0.4653 ms
  Registration overhead: -0.0001 ms
m=125656, n=2048, k=1408, l=1
  Reference time: 0.4230 ms
  Best time: 0.7440 ms
  Registered time: 0.7360 ms
  Registration overhead: -0.0079 ms
m=104280, n=2048, k=1408, l=1
  Reference time: 0.3542 ms
  Best time: 0.6151 ms
  Registered time: 0.6148 ms
  Registration overhead: -0.0003 ms
m=100840, n=1408, k=2048, l=1
  Reference time: 0.3196 ms
  Best time: 0.4671 ms
  Registered time: 0.4663 ms
  Registration overhead: -0.0008 ms
m=126048, n=2048, k=1408, l=1
  Reference time: 0.4214 ms
  Best time: 0.7464 ms
  Registered time: 0.7374 ms
  Registration overhead: -0.0090 ms
m=74880, n=1408, k=2048, l=1
  Reference time: 0.2332 ms
  Best time: 0.3527 ms
  Registered time: 0.3526 ms
  Registration overhead: -0.0000 ms
m=87352, n=1408, k=2048, l=1
  Reference time: 0.2778 ms
  Best time: 0.4075 ms
  Registered time: 0.4069 ms
  Registration overhead: -0.0006 ms
m=100528, n=1408, k=2048, l=1
  Reference time: 0.3151 ms
  Best time: 0.4670 ms
  Registered time: 0.4670 ms
  Registration overhead: 0.0000 ms
m=83832, n=2048, k=1408, l=1
  Reference time: 0.2965 ms
  Best time: 0.5008 ms
  Registered time: 0.5007 ms
  Registration overhead: -0.0001 ms
m=120088, n=2048, k=1408, l=1
  Reference time: 0.4080 ms
  Best time: 0.7045 ms
  Registered time: 0.7041 ms
  Registration overhead: -0.0004 ms
m=98192, n=1408, k=2048, l=1
  Reference time: 0.3065 ms
  Best time: 0.4560 ms
  Registered time: 0.4546 ms
  Registration overhead: -0.0014 ms
m=99000, n=1408, k=2048, l=1
  Reference time: 0.3113 ms
  Best time: 0.4625 ms
  Registered time: 0.4592 ms
  Registration overhead: -0.0034 ms
m=87952, n=2048, k=1408, l=1
  Reference time: 0.3109 ms
  Best time: 0.5249 ms
  Registered time: 0.5245 ms
  Registration overhead: -0.0004 ms
m=94344, n=2048, k=1408, l=1
  Reference time: 0.3339 ms
  Best time: 0.5623 ms
  Registered time: 0.5621 ms
  Registration overhead: -0.0003 ms
m=73384, n=2048, k=1408, l=1
  Reference time: 0.2629 ms
  Best time: 0.4424 ms
  Registered time: 0.4423 ms
  Registration overhead: -0.0001 ms
m=84552, n=1408, k=2048, l=1
  Reference time: 0.2716 ms
  Best time: 0.3957 ms
  Registered time: 0.3956 ms
  Registration overhead: -0.0000 ms
m=105960, n=2048, k=1408, l=1
  Reference time: 0.3562 ms
  Best time: 0.6255 ms
  Registered time: 0.6244 ms
  Registration overhead: -0.0011 ms
m=96208, n=2048, k=1408, l=1
  Reference time: 0.3309 ms
  Best time: 0.5735 ms
  Registered time: 0.5719 ms
  Registration overhead: -0.0016 ms
m=127224, n=2048, k=1408, l=1
  Reference time: 0.4325 ms
  Best time: 0.7498 ms
  Registered time: 0.7438 ms
  Registration overhead: -0.0060 ms
m=97864, n=2048, k=1408, l=1
  Reference time: 0.3349 ms
  Best time: 0.5914 ms
  Registered time: 0.5817 ms
  Registration overhead: -0.0098 ms
m=82552, n=2048, k=1408, l=1
  Reference time: 0.2934 ms
  Best time: 0.4970 ms
  Registered time: 0.4969 ms
  Registration overhead: -0.0001 ms
m=115568, n=2048, k=1408, l=1
  Reference time: 0.3938 ms
  Best time: 0.6799 ms
  Registered time: 0.6784 ms
  Registration overhead: -0.0014 ms
m=121936, n=1408, k=2048, l=1
  Reference time: 0.3712 ms
  Best time: 0.5660 ms
  Registered time: 0.5636 ms
  Registration overhead: -0.0024 ms
m=99968, n=2048, k=1408, l=1
  Reference time: 0.3323 ms
  Best time: 0.5951 ms
  Registered time: 0.5917 ms
  Registration overhead: -0.0034 ms
m=101296, n=2048, k=1408, l=1
  Reference time: 0.3460 ms
  Best time: 0.5991 ms
  Registered time: 0.5989 ms
  Registration overhead: -0.0002 ms
m=93792, n=2048, k=1408, l=1
  Reference time: 0.3232 ms
  Best time: 0.5588 ms
  Registered time: 0.5577 ms
  Registration overhead: -0.0011 ms
m=96672, n=2048, k=1408, l=1
  Reference time: 0.3377 ms
  Best time: 0.5736 ms
  Registered time: 0.5735 ms
  Registration overhead: -0.0001 ms
m=88496, n=1408, k=2048, l=1
  Reference time: 0.2778 ms
  Best time: 0.4115 ms
  Registered time: 0.4115 ms
  Registration overhead: -0.0000 ms
m=121032, n=2048, k=1408, l=1
  Reference time: 0.4047 ms
  Best time: 0.7115 ms
  Registered time: 0.7089 ms
  Registration overhead: -0.0026 ms
m=68024, n=1408, k=2048, l=1
  Reference time: 0.2280 ms
  Best time: 0.3244 ms
  Registered time: 0.3244 ms
  Registration overhead: 0.0000 ms
m=77504, n=2048, k=1408, l=1
  Reference time: 0.2817 ms
  Best time: 0.4667 ms
  Registered time: 0.4648 ms
  Registration overhead: -0.0019 ms
m=106432, n=2048, k=1408, l=1
  Reference time: 0.3631 ms
  Best time: 0.6377 ms
  Registered time: 0.6280 ms
  Registration overhead: -0.0097 ms
m=86936, n=1408, k=2048, l=1
  Reference time: 0.2782 ms
  Best time: 0.4050 ms
  Registered time: 0.4050 ms
  Registration overhead: -0.0000 ms
m=55432, n=2048, k=1408, l=1
  Reference time: 0.2198 ms
  Best time: 0.3357 ms
  Registered time: 0.3359 ms
  Registration overhead: 0.0002 ms
m=120088, n=1408, k=2048, l=1
  Reference time: 0.3724 ms
  Best time: 0.5550 ms
  Registered time: 0.5549 ms
  Registration overhead: -0.0001 ms
m=103128, n=1408, k=2048, l=1
  Reference time: 0.3246 ms
  Best time: 0.4776 ms
  Registered time: 0.4774 ms
  Registration overhead: -0.0002 ms
m=93528, n=1408, k=2048, l=1
  Reference time: 0.2980 ms
  Best time: 0.4345 ms
  Registered time: 0.4345 ms
  Registration overhead: 0.0001 ms
m=99424, n=1408, k=2048, l=1
  Reference time: 0.3080 ms
  Best time: 0.4617 ms
  Registered time: 0.4601 ms
  Registration overhead: -0.0016 ms
m=63752, n=1408, k=2048, l=1
  Reference time: 0.2232 ms
  Best time: 0.3031 ms
  Registered time: 0.3030 ms
  Registration overhead: -0.0002 ms
m=81968, n=2048, k=1408, l=1
  Reference time: 0.2924 ms
  Best time: 0.4962 ms
  Registered time: 0.4959 ms
  Registration overhead: -0.0004 ms
m=74160, n=2048, k=1408, l=1
  Reference time: 0.2664 ms
  Best time: 0.4510 ms
  Registered time: 0.4500 ms
  Registration overhead: -0.0010 ms
m=71456, n=2048, k=1408, l=1
  Reference time: 0.2592 ms
  Best time: 0.4320 ms
  Registered time: 0.4321 ms
  Registration overhead: 0.0000 ms
m=40496, n=1408, k=2048, l=1
  Reference time: 0.2215 ms
  Best time: 0.1933 ms
  Registered time: 0.1933 ms
  Registration overhead: 0.0000 ms
m=82664, n=1408, k=2048, l=1
  Reference time: 0.2685 ms
  Best time: 0.3850 ms
  Registered time: 0.3848 ms
  Registration overhead: -0.0002 ms
m=96672, n=1408, k=2048, l=1
  Reference time: 0.3015 ms
  Best time: 0.4504 ms
  Registered time: 0.4481 ms
  Registration overhead: -0.0023 ms
m=85544, n=1408, k=2048, l=1
  Reference time: 0.2767 ms
  Best time: 0.3992 ms
  Registered time: 0.3993 ms
  Registration overhead: 0.0001 ms
m=64280, n=2048, k=1408, l=1
  Reference time: 0.2399 ms
  Best time: 0.3908 ms
  Registered time: 0.3907 ms
  Registration overhead: -0.0000 ms
m=99080, n=1408, k=2048, l=1
  Reference time: 0.3126 ms
  Best time: 0.4601 ms
  Registered time: 0.4601 ms
  Registration overhead: -0.0000 ms
m=99296, n=1408, k=2048, l=1
  Reference time: 0.3032 ms
  Best time: 0.4632 ms
  Registered time: 0.4614 ms
  Registration overhead: -0.0018 ms
m=97072, n=2048, k=1408, l=1
  Reference time: 0.3371 ms
  Best time: 0.5793 ms
  Registered time: 0.5779 ms
  Registration overhead: -0.0014 ms
m=37056, n=2048, k=1408, l=1
  Reference time: 0.2229 ms
  Best time: 0.2190 ms
  Registered time: 0.2190 ms
  Registration overhead: 0.0000 ms
m=87248, n=2048, k=1408, l=1
  Reference time: 0.3066 ms
  Best time: 0.5224 ms
  Registered time: 0.5312 ms
  Registration overhead: 0.0088 ms
m=101504, n=1408, k=2048, l=1
  Reference time: 0.3032 ms
  Best time: 0.4711 ms
  Registered time: 0.4700 ms
  Registration overhead: -0.0011 ms
m=97768, n=1408, k=2048, l=1
  Reference time: 0.3062 ms
  Best time: 0.4537 ms
  Registered time: 0.4537 ms
  Registration overhead: 0.0001 ms
m=105160, n=2048, k=1408, l=1
  Reference time: 0.3693 ms
  Best time: 0.6314 ms
  Registered time: 0.6201 ms
  Registration overhead: -0.0113 ms
m=77216, n=1408, k=2048, l=1
  Reference time: 0.2473 ms
  Best time: 0.3637 ms
  Registered time: 0.3638 ms
  Registration overhead: 0.0000 ms
m=123688, n=2048, k=1408, l=1
  Reference time: 0.4096 ms
  Best time: 0.7270 ms
  Registered time: 0.7252 ms
  Registration overhead: -0.0017 ms
m=127224, n=1408, k=2048, l=1
  Reference time: 0.3928 ms
  Best time: 0.5877 ms
  Registered time: 0.5875 ms
  Registration overhead: -0.0002 ms
m=127208, n=1408, k=2048, l=1
  Reference time: 0.3980 ms
  Best time: 0.5871 ms
  Registered time: 0.5859 ms
  Registration overhead: -0.0011 ms
m=97696, n=2048, k=1408, l=1
  Reference time: 0.3348 ms
  Best time: 0.5836 ms
  Registered time: 0.5816 ms
  Registration overhead: -0.0020 ms
m=65000, n=1408, k=2048, l=1
  Reference time: 0.2309 ms
  Best time: 0.3097 ms
  Registered time: 0.3096 ms
  Registration overhead: -0.0001 ms
m=12384, n=1408, k=2048, l=1
  Reference time: 0.2111 ms
  Best time: 0.0619 ms
  Registered time: 0.0624 ms
  Registration overhead: 0.0005 ms
m=90464, n=2048, k=1408, l=1
  Reference time: 0.3162 ms
  Best time: 0.5409 ms
  Registered time: 0.5409 ms
  Registration overhead: 0.0000 ms
m=85536, n=2048, k=1408, l=1
  Reference time: 0.2982 ms
  Best time: 0.5129 ms
  Registered time: 0.5114 ms
  Registration overhead: -0.0016 ms
m=86832, n=2048, k=1408, l=1
  Reference time: 0.3058 ms
  Best time: 0.5223 ms
  Registered time: 0.5211 ms
  Registration overhead: -0.0012 ms
m=37056, n=1408, k=2048, l=1
  Reference time: 0.2184 ms
  Best time: 0.1769 ms
  Registered time: 0.1769 ms
  Registration overhead: -0.0000 ms
m=98848, n=1408, k=2048, l=1
  Reference time: 0.3086 ms
  Best time: 0.4586 ms
  Registered time: 0.4576 ms
  Registration overhead: -0.0010 ms
m=86464, n=2048, k=1408, l=1
  Reference time: 0.3054 ms
  Best time: 0.5207 ms
  Registered time: 0.5198 ms
  Registration overhead: -0.0009 ms
m=102400, n=2048, k=1408, l=1
  Reference time: 0.3419 ms
  Best time: 0.6156 ms
  Registered time: 0.6060 ms
  Registration overhead: -0.0096 ms
m=89344, n=2048, k=1408, l=1
  Reference time: 0.3008 ms
  Best time: 0.5392 ms
  Registered time: 0.5367 ms
  Registration overhead: -0.0024 ms
m=103112, n=2048, k=1408, l=1
  Reference time: 0.3534 ms
  Best time: 0.6112 ms
  Registered time: 0.6093 ms
  Registration overhead: -0.0020 ms
m=98568, n=2048, k=1408, l=1
  Reference time: 0.3394 ms
  Best time: 0.5905 ms
  Registered time: 0.5858 ms
  Registration overhead: -0.0047 ms
m=136320, n=2048, k=1408, l=1
  Reference time: 0.4417 ms
  Best time: 0.8240 ms
  Registered time: 0.7972 ms
  Registration overhead: -0.0267 ms
m=92560, n=2048, k=1408, l=1
  Reference time: 0.3239 ms
  Best time: 0.5562 ms
  Registered time: 0.5523 ms
  Registration overhead: -0.0039 ms
m=127208, n=2048, k=1408, l=1
  Reference time: 0.4264 ms
  Best time: 0.7527 ms
  Registered time: 0.7448 ms
  Registration overhead: -0.0079 ms
m=60752, n=2048, k=1408, l=1
  Reference time: 0.2274 ms
  Best time: 0.3683 ms
  Registered time: 0.3683 ms
  Registration overhead: -0.0000 ms
m=101552, n=2048, k=1408, l=1
  Reference time: 0.3472 ms
  Best time: 0.6231 ms
  Registered time: 0.6010 ms
  Registration overhead: -0.0221 ms
m=87176, n=1408, k=2048, l=1
  Reference time: 0.2805 ms
  Best time: 0.4055 ms
  Registered time: 0.4054 ms
  Registration overhead: -0.0001 ms
m=69448, n=1408, k=2048, l=1
  Reference time: 0.2373 ms
  Best time: 0.3288 ms
  Registered time: 0.3287 ms
  Registration overhead: -0.0001 ms
m=97224, n=2048, k=1408, l=1
  Reference time: 0.3335 ms
  Best time: 0.5803 ms
  Registered time: 0.5792 ms
  Registration overhead: -0.0011 ms
m=96864, n=2048, k=1408, l=1
  Reference time: 0.3379 ms
  Best time: 0.5761 ms
  Registered time: 0.5755 ms
  Registration overhead: -0.0006 ms
m=81272, n=1408, k=2048, l=1
  Reference time: 0.2635 ms
  Best time: 0.3815 ms
  Registered time: 0.3813 ms
  Registration overhead: -0.0002 ms
m=120464, n=1408, k=2048, l=1
  Reference time: 0.3743 ms
  Best time: 0.5569 ms
  Registered time: 0.5567 ms
  Registration overhead: -0.0002 ms
m=129584, n=1408, k=2048, l=1
  Reference time: 0.3992 ms
  Best time: 0.6005 ms
  Registered time: 0.5981 ms
  Registration overhead: -0.0024 ms
m=118472, n=1408, k=2048, l=1
  Reference time: 0.3736 ms
  Best time: 0.5602 ms
  Registered time: 0.5468 ms
  Registration overhead: -0.0134 ms
m=128904, n=2048, k=1408, l=1
  Reference time: 0.4315 ms
  Best time: 0.7690 ms
  Registered time: 0.7560 ms
  Registration overhead: -0.0130 ms
m=97296, n=1408, k=2048, l=1
  Reference time: 0.3081 ms
  Best time: 0.4513 ms
  Registered time: 0.4515 ms
  Registration overhead: 0.0001 ms
m=80600, n=2048, k=1408, l=1
  Reference time: 0.2856 ms
  Best time: 0.4837 ms
  Registered time: 0.4836 ms
  Registration overhead: -0.0001 ms
m=104800, n=2048, k=1408, l=1
  Reference time: 0.3547 ms
  Best time: 0.6431 ms
  Registered time: 0.6177 ms
  Registration overhead: -0.0254 ms
m=81096, n=2048, k=1408, l=1
  Reference time: 0.2897 ms
  Best time: 0.4900 ms
  Registered time: 0.4899 ms
  Registration overhead: -0.0001 ms
m=120560, n=2048, k=1408, l=1
  Reference time: 0.4043 ms
  Best time: 0.7082 ms
  Registered time: 0.7068 ms
  Registration overhead: -0.0014 ms
m=98808, n=2048, k=1408, l=1
  Reference time: 0.3372 ms
  Best time: 0.5884 ms
  Registered time: 0.5871 ms
  Registration overhead: -0.0013 ms
m=97296, n=2048, k=1408, l=1
  Reference time: 0.3331 ms
  Best time: 0.5798 ms
  Registered time: 0.5798 ms
  Registration overhead: 0.0000 ms
m=102112, n=2048, k=1408, l=1
  Reference time: 0.3502 ms
  Best time: 0.6081 ms
  Registered time: 0.6043 ms
  Registration overhead: -0.0038 ms
m=121496, n=2048, k=1408, l=1
  Reference time: 0.4097 ms
  Best time: 0.7171 ms
  Registered time: 0.7125 ms
  Registration overhead: -0.0046 ms
m=85800, n=2048, k=1408, l=1
  Reference time: 0.3054 ms
  Best time: 0.5168 ms
  Registered time: 0.5167 ms
  Registration overhead: -0.0002 ms
m=97224, n=1408, k=2048, l=1
  Reference time: 0.3083 ms
  Best time: 0.4515 ms
  Registered time: 0.4515 ms
  Registration overhead: 0.0000 ms
m=93880, n=1408, k=2048, l=1
  Reference time: 0.2966 ms
  Best time: 0.4375 ms
  Registered time: 0.4375 ms
  Registration overhead: 0.0000 ms
m=109688, n=1408, k=2048, l=1
  Reference time: 0.3392 ms
  Best time: 0.5086 ms
  Registered time: 0.5078 ms
  Registration overhead: -0.0008 ms
m=94408, n=2048, k=1408, l=1
  Reference time: 0.3326 ms
  Best time: 0.5673 ms
  Registered time: 0.5617 ms
  Registration overhead: -0.0056 ms
m=101344, n=1408, k=2048, l=1
  Reference time: 0.3134 ms
  Best time: 0.4716 ms
  Registered time: 0.4696 ms
  Registration overhead: -0.0020 ms
m=130608, n=1408, k=2048, l=1
  Reference time: 0.4021 ms
  Best time: 0.6101 ms
  Registered time: 0.6016 ms
  Registration overhead: -0.0085 ms
m=64896, n=1408, k=2048, l=1
  Reference time: 0.2062 ms
  Best time: 0.3095 ms
  Registered time: 0.3094 ms
  Registration overhead: -0.0001 ms
m=82960, n=2048, k=1408, l=1
  Reference time: 0.2955 ms
  Best time: 0.4999 ms
  Registered time: 0.4977 ms
  Registration overhead: -0.0021 ms
m=98760, n=2048, k=1408, l=1
  Reference time: 0.3416 ms
  Best time: 0.5939 ms
  Registered time: 0.5872 ms
  Registration overhead: -0.0066 ms
m=96488, n=1408, k=2048, l=1
  Reference time: 0.3055 ms
  Best time: 0.4474 ms
  Registered time: 0.4470 ms
  Registration overhead: -0.0003 ms
m=94112, n=1408, k=2048, l=1
  Reference time: 0.2927 ms
  Best time: 0.4374 ms
  Registered time: 0.4375 ms
  Registration overhead: 0.0001 ms
m=89704, n=1408, k=2048, l=1
  Reference time: 0.2859 ms
  Best time: 0.4168 ms
  Registered time: 0.4167 ms
  Registration overhead: -0.0001 ms
m=100264, n=1408, k=2048, l=1
  Reference time: 0.3134 ms
  Best time: 0.4668 ms
  Registered time: 0.4655 ms
  Registration overhead: -0.0013 ms
m=98256, n=2048, k=1408, l=1
  Reference time: 0.3426 ms
  Best time: 0.6009 ms
  Registered time: 0.5846 ms
  Registration overhead: -0.0163 ms
m=87680, n=1408, k=2048, l=1
  Reference time: 0.2690 ms
  Best time: 0.4084 ms
  Registered time: 0.4084 ms
  Registration overhead: 0.0000 ms
m=99128, n=1408, k=2048, l=1
  Reference time: 0.3136 ms
  Best time: 0.4592 ms
  Registered time: 0.4594 ms
  Registration overhead: 0.0001 ms
m=116568, n=2048, k=1408, l=1
  Reference time: 0.3933 ms
  Best time: 0.6855 ms
  Registered time: 0.6836 ms
  Registration overhead: -0.0018 ms
m=87928, n=2048, k=1408, l=1
  Reference time: 0.3089 ms
  Best time: 0.5326 ms
  Registered time: 0.5260 ms
  Registration overhead: -0.0066 ms
m=100464, n=2048, k=1408, l=1
  Reference time: 0.3546 ms
  Best time: 0.6114 ms
  Registered time: 0.5951 ms
  Registration overhead: -0.0163 ms
m=83576, n=1408, k=2048, l=1
  Reference time: 0.2701 ms
  Best time: 0.3893 ms
  Registered time: 0.3891 ms
  Registration overhead: -0.0002 ms
m=113576, n=1408, k=2048, l=1
  Reference time: 0.3595 ms
  Best time: 0.5308 ms
  Registered time: 0.5245 ms
  Registration overhead: -0.0062 ms
m=104824, n=1408, k=2048, l=1
  Reference time: 0.3309 ms
  Best time: 0.4855 ms
  Registered time: 0.4855 ms
  Registration overhead: -0.0001 ms
m=90496, n=1408, k=2048, l=1
  Reference time: 0.2718 ms
  Best time: 0.4228 ms
  Registered time: 0.4220 ms
  Registration overhead: -0.0008 ms
m=97336, n=2048, k=1408, l=1
  Reference time: 0.3391 ms
  Best time: 0.5824 ms
  Registered time: 0.5795 ms
  Registration overhead: -0.0029 ms
m=73208, n=2048, k=1408, l=1
  Reference time: 0.2644 ms
  Best time: 0.4439 ms
  Registered time: 0.4435 ms
  Registration overhead: -0.0005 ms
m=67448, n=1408, k=2048, l=1
  Reference time: 0.2275 ms
  Best time: 0.3197 ms
  Registered time: 0.3196 ms
  Registration overhead: -0.0000 ms
m=87256, n=1408, k=2048, l=1
  Reference time: 0.2788 ms
  Best time: 0.4058 ms
  Registered time: 0.4058 ms
  Registration overhead: -0.0000 ms
m=151744, n=1408, k=2048, l=1
  Reference time: 0.4470 ms
  Best time: 0.6988 ms
  Registered time: 0.6984 ms
  Registration overhead: -0.0004 ms
m=108616, n=1408, k=2048, l=1
  Reference time: 0.3358 ms
  Best time: 0.5070 ms
  Registered time: 0.5028 ms
  Registration overhead: -0.0042 ms
m=67840, n=2048, k=1408, l=1
  Reference time: 0.2392 ms
  Best time: 0.4105 ms
  Registered time: 0.4103 ms
  Registration overhead: -0.0002 ms
m=98576, n=1408, k=2048, l=1
  Reference time: 0.3096 ms
  Best time: 0.4577 ms
  Registered time: 0.4575 ms
  Registration overhead: -0.0002 ms
m=139872, n=1408, k=2048, l=1
  Reference time: 0.4114 ms
  Best time: 0.6475 ms
  Registered time: 0.6445 ms
  Registration overhead: -0.0029 ms
m=97440, n=1408, k=2048, l=1
  Reference time: 0.3019 ms
  Best time: 0.4554 ms
  Registered time: 0.4520 ms
  Registration overhead: -0.0034 ms
m=102624, n=1408, k=2048, l=1
  Reference time: 0.3146 ms
  Best time: 0.4786 ms
  Registered time: 0.4759 ms
  Registration overhead: -0.0027 ms
m=98296, n=2048, k=1408, l=1
  Reference time: 0.3414 ms
  Best time: 0.5844 ms
  Registered time: 0.5827 ms
  Registration overhead: -0.0017 ms
m=30928, n=1408, k=2048, l=1
  Reference time: 0.2223 ms
  Best time: 0.1474 ms
  Registered time: 0.1476 ms
  Registration overhead: 0.0002 ms
m=45720, n=1408, k=2048, l=1
  Reference time: 0.2271 ms
  Best time: 0.2204 ms
  Registered time: 0.2205 ms
  Registration overhead: 0.0001 ms
m=106096, n=2048, k=1408, l=1
  Reference time: 0.3656 ms
  Best time: 0.6362 ms
  Registered time: 0.6263 ms
  Registration overhead: -0.0099 ms
m=92024, n=2048, k=1408, l=1
  Reference time: 0.3216 ms
  Best time: 0.5495 ms
  Registered time: 0.5491 ms
  Registration overhead: -0.0004 ms
m=87840, n=1408, k=2048, l=1
  Reference time: 0.2717 ms
  Best time: 0.4107 ms
  Registered time: 0.4090 ms
  Registration overhead: -0.0017 ms
m=74816, n=2048, k=1408, l=1
  Reference time: 0.2693 ms
  Best time: 0.4519 ms
  Registered time: 0.4515 ms
  Registration overhead: -0.0004 ms
m=97504, n=2048, k=1408, l=1
  Reference time: 0.3354 ms
  Best time: 0.5814 ms
  Registered time: 0.5951 ms
  Registration overhead: 0.0137 ms
m=91744, n=1408, k=2048, l=1
  Reference time: 0.2854 ms
  Best time: 0.4280 ms
  Registered time: 0.4265 ms
  Registration overhead: -0.0015 ms
m=98976, n=2048, k=1408, l=1
  Reference time: 0.3476 ms
  Best time: 0.5945 ms
  Registered time: 0.5877 ms
  Registration overhead: -0.0068 ms
m=84264, n=1408, k=2048, l=1
  Reference time: 0.2696 ms
  Best time: 0.3933 ms
  Registered time: 0.3934 ms
  Registration overhead: 0.0001 ms
m=103128, n=2048, k=1408, l=1
  Reference time: 0.3535 ms
  Best time: 0.6209 ms
  Registered time: 0.6098 ms
  Registration overhead: -0.0111 ms
m=76176, n=1408, k=2048, l=1
  Reference time: 0.2449 ms
  Best time: 0.3596 ms
  Registered time: 0.3595 ms
  Registration overhead: -0.0001 ms
m=100696, n=2048, k=1408, l=1
  Reference time: 0.3492 ms
  Best time: 0.5996 ms
  Registered time: 0.5965 ms
  Registration overhead: -0.0031 ms
m=75456, n=1408, k=2048, l=1
  Reference time: 0.2461 ms
  Best time: 0.3552 ms
  Registered time: 0.3551 ms
  Registration overhead: -0.0001 ms
m=125024, n=2048, k=1408, l=1
  Reference time: 0.4156 ms
  Best time: 0.7436 ms
  Registered time: 0.7332 ms
  Registration overhead: -0.0104 ms
m=111840, n=2048, k=1408, l=1
  Reference time: 0.3788 ms
  Best time: 0.6576 ms
  Registered time: 0.6576 ms
  Registration overhead: 0.0000 ms
m=75144, n=1408, k=2048, l=1
  Reference time: 0.2480 ms
  Best time: 0.3545 ms
  Registered time: 0.3545 ms
  Registration overhead: -0.0000 ms
m=131840, n=1408, k=2048, l=1
  Reference time: 0.3855 ms
  Best time: 0.6116 ms
  Registered time: 0.6089 ms
  Registration overhead: -0.0028 ms
m=86112, n=2048, k=1408, l=1
  Reference time: 0.3041 ms
  Best time: 0.5157 ms
  Registered time: 0.5149 ms
  Registration overhead: -0.0008 ms
m=81520, n=1408, k=2048, l=1
  Reference time: 0.2621 ms
  Best time: 0.3821 ms
  Registered time: 0.3822 ms
  Registration overhead: 0.0001 ms
m=136320, n=1408, k=2048, l=1
  Reference time: 0.4033 ms
  Best time: 0.6399 ms
  Registered time: 0.6273 ms
  Registration overhead: -0.0126 ms
m=105960, n=1408, k=2048, l=1
  Reference time: 0.3318 ms
  Best time: 0.4927 ms
  Registered time: 0.4905 ms
  Registration overhead: -0.0022 ms
m=72928, n=2048, k=1408, l=1
  Reference time: 0.2644 ms
  Best time: 0.4406 ms
  Registered time: 0.4399 ms
  Registration overhead: -0.0007 ms
m=93872, n=1408, k=2048, l=1
  Reference time: 0.2945 ms
  Best time: 0.4371 ms
  Registered time: 0.4359 ms
  Registration overhead: -0.0012 ms
m=89232, n=2048, k=1408, l=1
  Reference time: 0.3157 ms
  Best time: 0.5324 ms
  Registered time: 0.5324 ms
  Registration overhead: 0.0000 ms
m=93624, n=2048, k=1408, l=1
  Reference time: 0.3246 ms
  Best time: 0.5584 ms
  Registered time: 0.5572 ms
  Registration overhead: -0.0012 ms
m=88712, n=2048, k=1408, l=1
  Reference time: 0.3095 ms
  Best time: 0.5298 ms
  Registered time: 0.5284 ms
  Registration overhead: -0.0013 ms
m=87112, n=2048, k=1408, l=1
  Reference time: 0.3067 ms
  Best time: 0.5250 ms
  Registered time: 0.5216 ms
  Registration overhead: -0.0034 ms
m=98008, n=2048, k=1408, l=1
  Reference time: 0.3410 ms
  Best time: 0.5870 ms
  Registered time: 0.5829 ms
  Registration overhead: -0.0041 ms
m=99968, n=1408, k=2048, l=1
  Reference time: 0.3000 ms
  Best time: 0.4633 ms
  Registered time: 0.4627 ms
  Registration overhead: -0.0007 ms
m=100464, n=1408, k=2048, l=1
  Reference time: 0.3154 ms
  Best time: 0.4676 ms
  Registered time: 0.4652 ms
  Registration overhead: -0.0024 ms
m=106944, n=2048, k=1408, l=1
  Reference time: 0.3623 ms
  Best time: 0.6458 ms
  Registered time: 0.6296 ms
  Registration overhead: -0.0162 ms
m=157496, n=2048, k=1408, l=1
  Reference time: 0.5075 ms
  Best time: 0.9202 ms
  Registered time: 0.9202 ms
  Registration overhead: -0.0000 ms
m=96864, n=1408, k=2048, l=1
  Reference time: 0.3027 ms
  Best time: 0.4491 ms
  Registered time: 0.4492 ms
  Registration overhead: 0.0000 ms
m=118160, n=2048, k=1408, l=1
  Reference time: 0.3938 ms
  Best time: 0.6945 ms
  Registered time: 0.6929 ms
  Registration overhead: -0.0015 ms
m=95704, n=2048, k=1408, l=1
  Reference time: 0.3292 ms
  Best time: 0.5728 ms
  Registered time: 0.5693 ms
  Registration overhead: -0.0035 ms
m=101344, n=2048, k=1408, l=1
  Reference time: 0.3503 ms
  Best time: 0.6022 ms
  Registered time: 0.5983 ms
  Registration overhead: -0.0039 ms
m=87792, n=2048, k=1408, l=1
  Reference time: 0.3127 ms
  Best time: 0.5241 ms
  Registered time: 0.5239 ms
  Registration overhead: -0.0002 ms
m=104880, n=1408, k=2048, l=1
  Reference time: 0.3264 ms
  Best time: 0.4859 ms
  Registered time: 0.4855 ms
  Registration overhead: -0.0004 ms
m=55248, n=2048, k=1408, l=1
  Reference time: 0.2248 ms
  Best time: 0.3325 ms
  Registered time: 0.3325 ms
  Registration overhead: 0.0000 ms
m=94984, n=2048, k=1408, l=1
